Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-14,80068.72972328245,80155.38419267994,79028.87609051254,79462.1484375,110697,0.0,0
2018-11-15,78942.22162111505,79635.45737629499,78508.94927412759,79462.1484375,106429,0.0,0
2018-11-16,79115.54409281975,79462.16202969957,78335.65373484013,78595.6171875,211659,0.0,0
2018-11-19,78335.64771475771,79722.11935572687,78162.33875963655,78682.265625,212461,0.0,0
2018-11-20,78682.27167171997,79028.88960859978,78162.34476640023,78595.6171875,169179,0.0,0
2018-11-21,78422.29578993055,78422.29578993055,77642.40555555555,77989.0234375,221319,0.0,0
2018-11-22,77902.3736239861,77902.3736239861,74262.88564600232,74782.8125,577166,0.0,0
2018-11-23,74869.46010638298,75042.76904181442,72703.09841348995,73309.6796875,340628,0.0,0
2018-11-26,73656.30326704546,74349.5390625,72963.06747159091,74349.5390625,189769,0.0,0
2018-11-27,74349.5436416185,75302.74291907514,74089.58020231215,74956.125,161443,0.0,0
2018-11-28,75216.08698453607,75909.32280927834,74176.23324742267,75649.359375,163259,0.0,0
2018-11-29,76082.63634588067,76689.2177290483,75909.32737926136,76255.9453125,249184,0.0,0
2018-11-30,76255.9421965318,76429.25115606937,74349.5436416185,74956.125,382593,0.0,0
2018-12-03,75476.04864893922,76082.62998136468,75042.77626863532,75562.703125,219350,0.0,0
2018-12-04,75476.05365906467,75909.32606812932,74696.16332274827,75042.78125,173570,0.0,0
2018-12-05,74522.84907300117,75389.39382966397,74002.92221900348,74782.8125,223898,0.0,0
2018-12-06,74782.81721698113,75042.78066037736,72963.07311320755,73483.0,260931,0.0,0
2018-12-07,73656.30043280516,74349.5362015845,73136.37360622066,73829.609375,184139,0.0,0
2018-12-10,73482.98903508772,74349.53371710527,73223.02563048246,74089.5703125,208762,0.0,0
2018-12-11,73656.30363380924,74176.23048298906,71056.6693879101,71316.6328125,441394,0.0,0
2018-12-12,70883.35418533454,72876.40693137694,70883.35418533454,72529.7890625,271171,0.0,0
2018-12-13,72703.10687908255,73742.96061275237,72703.10687908255,72963.0703125,454374,0.0,0
2018-12-14,72963.07281734208,74696.1624329559,72616.4548942193,72703.109375,265184,0.0,0
2018-12-17,72963.0703125,73829.6150905582,72963.0703125,72963.0703125,171215,0.0,0
2018-12-18,72876.41228608631,73656.30254836309,72356.48544456845,72789.7578125,172452,0.0,0
2018-12-19,73136.37075206856,73482.98862293144,72616.44394577423,73309.6796875,203553,0.0,0
2018-12-20,72963.06139859618,73309.67926747313,72096.51672640383,72529.7890625,251308,0.0,0
2018-12-21,72616.44886532737,72963.06675967261,72183.17649739583,72789.7578125,253655,0.0,0
2018-12-24,72963.07311320755,73656.30896226416,72269.83726415095,73483.0,150686,0.0,0
2018-12-26,72963.06675967261,73223.03018043154,72356.48544456845,72789.7578125,198558,0.0,0
2018-12-27,74176.6583684816,74176.6583684816,72834.49929064418,72923.9765625,273820,2650.0,0
2018-12-28,72923.97585401348,73371.36220894608,72745.02131204045,73013.453125,149932,0.0,0
2019-01-02,73102.92386947385,73371.35565846824,71313.3786095112,71850.2421875,221030,0.0,0
2019-01-03,72208.15695758375,72387.11149775125,71402.86152683002,72118.6796875,159465,0.0,0
2019-01-04,72118.68111579755,73550.31746549079,71581.81748466258,72923.9765625,193345,0.0,0
